bring me a plum from the TV table	bring me a plum from the TV table
tell me what is the smallest cleaning supply on the kitchen cabinet	tell me what is the smallest cleaning supply on the kitchen cabinet
tell me how many people in the hallway are wearing gray t shirts	tell me how many people in the hallway are wearing gray t shirts
tell me how many people in the hallway are wearing blue sweaters	tell me how many people in the hallway are wearing blue sweaters
tell me what is the lightest dish on the coffee table	tell me what is the lightest dish on the coffee table
escort Jesse from the shelf to the lounge chair	escort Jesse from the shelf to the lounge chair
tell the name of the person at the kitchen counter to the person at the kitchen cabinet	tell the name of the person at the kitchen counter to the person at the kitchen cabinet
greet Jesse in the hallway and say the day of the week	greet Jesse in the hallway and say the day of the week
take a cup from the kitchen counter and place it on the kitchen cabinet	take a cup from the kitchen counter and place it on the kitchen cabinet
go to the living room then find a toy and fetch it and deliver it to Kevin in the kitchen	go to the living room then find a toy and fetch it and deliver it to Kevin in the kitchen
tell me how many foods there are on the kitchen counter	tell me how many foods there are on the kitchen counter
tell me the pose of the person in the hallway	tell me the pose of the person in the hallway
meet Laura in the kitchen and follow them to the living room	meet Laura in the kitchen and follow them to the living room
find a tuna in the office then fetch it and deliver it to me	find a tuna in the office then fetch it and deliver it to me
answer the quiz of the person raising their left arm in the living room	answer the quiz of the person raising their left arm in the living room
fetch a bowl from the dishwasher and deliver it to me	fetch a bowl from the dishwasher and deliver it to me
give me a plate from the kitchen cabinet	give me a plate from the kitchen cabinet
follow Robin from the lamp to the kitchen	follow Robin from the lamp to the kitchen
bring me a juice pack from the dishwasher	bring me a juice pack from the dishwasher
tell something about yourself to the person pointing to the right in the living room	tell something about yourself to the person pointing to the right in the living room
tell me the gesture of the person at the hallway cabinet	tell me the gesture of the person at the hallway cabinet
navigate to the TV table then locate a baseball and get it and bring it to Noah in the living room	navigate to the TV table then locate a baseball and get it and bring it to Noah in the living room
tell me the name of the person at the lounge chair	tell me the name of the person at the lounge chair
tell me how many dishes there are on the desk	tell me how many dishes there are on the desk
give me a cola from the kitchen cabinet	give me a cola from the kitchen cabinet
take the standing person from the coffee table to the hallway	take the standing person from the coffee table to the hallway
tell me the pose of the person at the lamp	tell me the pose of the person at the lamp
tell me how many people in the kitchen are wearing white coats	tell me how many people in the kitchen are wearing white coats
navigate to the kitchen then meet Peter and follow them to the trashcan	navigate to the kitchen then meet Peter and follow them to the trashcan
answer the quiz of the person pointing to the right in the living room	answer the quiz of the person pointing to the right in the living room
go to the dishwasher then meet Emma and follow them	go to the dishwasher then meet Emma and follow them
get a tomato soup from the coffee table and give it to Peter in the living room	get a tomato soup from the coffee table and give it to Peter in the living room
give me a tropical juice from the kitchen cabinet	give me a tropical juice from the kitchen cabinet
navigate to the hallway then locate a toy and grasp it and give it to the person pointing to the left in the hallway	navigate to the hallway then locate a toy and grasp it and give it to the person pointing to the left in the hallway
find a food in the office then get it and deliver it to the waving person in the office	find a food in the office then get it and deliver it to the waving person in the office
navigate to the kitchen then find a drink and get it and bring it to Sara in the office	navigate to the kitchen then find a drink and get it and bring it to Sara in the office
tell your teams country to the person raising their right arm in the hallway	tell your teams country to the person raising their right arm in the hallway
grasp a food from the coffee table and bring it to the person pointing to the right in the living room	grasp a food from the coffee table and bring it to the person pointing to the right in the living room
escort the sitting person from the shelf to the office	escort the sitting person from the shelf to the office
